Date,Last_Price
1970/9/18,13.3842
1970/9/21,13.1574
1970/9/22,13.0499
1970/9/23,13.4201
1970/9/24,13.7782
1970/9/25,13.7782
1970/9/28,13.8499
1970/9/29,13.9335
1970/9/30,13.9335
1970/10/1,14.1842
1970/10/2,14.2916
1970/10/5,14.6498
1970/10/6,14.6677
1970/10/7,14.6021
1970/10/8,14.2439
1970/10/9,14.1424
1970/10/12,13.8618
1970/10/13,13.9454
1970/10/14,13.9215
1970/10/15,13.9932
1970/10/16,13.8857
1970/10/19,13.5872
1970/10/20,13.9036
1970/10/21,13.7962
1970/10/22,13.7544
1970/10/23,14.0887
1970/10/26,13.8379
1970/10/27,13.8976
1970/10/28,14.1603
1970/10/29,14.2558
1970/10/30,14.0409
1970/11/2,14.3155
1970/11/3,14.1424
1970/11/4,14.1484
1970/11/5,13.9752
1970/11/6,14.0409
1970/11/9,14.2081
1970/11/10,14.2797
1970/11/11,14.1961
1970/11/12,14.1902
1970/11/13,13.9991
1970/11/16,14.0051
1970/11/17,13.9872
1970/11/18,13.8738
1970/11/19,13.8976
1970/11/20,14.1603
1970/11/23,14.2797
1970/11/24,14.3275
1970/11/25,14.2797
1970/11/27,14.7334
1970/11/30,14.6737
1970/12/1,14.7095
1970/12/2,14.9961
1970/12/3,14.8767
1970/12/4,14.8886
1970/12/7,15.0916
1970/12/8,15.1035
1970/12/9,15.1513
1970/12/10,15.1632
1970/12/11,15.1393
1970/12/14,14.8409
1970/12/15,14.8528
1970/12/16,14.9483
1970/12/17,14.9483
1970/12/18,15.0677
1970/12/21,15.1513
1970/12/22,15.0916
1970/12/23,14.9244
1970/12/24,15.0438
1970/12/28,15.211
1970/12/29,15.2946
1970/12/30,15.2587
1970/12/31,15.1752
1971/1/4,14.9483
1971/1/5,15.1035
1971/1/6,15.1871
1971/1/7,15.1035
1971/1/8,15.02
1971/1/11,14.9244
1971/1/12,15.0797
1971/1/13,15.0737
1971/1/14,15.02
1971/1/15,14.805
1971/1/18,14.8886
1971/1/19,14.9364
1971/1/20,15.0319
1971/1/21,15.0677
1971/1/22,15.1155
1971/1/25,15.3662
1971/1/26,15.5692
1971/1/27,15.402
1971/1/28,15.1632
1971/1/29,15.5453
1971/2/1,15.6289
1971/2/2,15.6528
1971/2/3,15.6945
1971/2/4,15.7841
1971/2/5,16.0706
1971/2/8,16.2736
1971/2/9,16.1662
1971/2/10,16.1065
1971/2/11,16.1781
1971/2/12,16.2139
1971/2/16,16.3154
1971/2/17,16.0706
1971/2/18,15.7244
1971/2/19,15.6766
1971/2/22,15.7841
1971/2/23,16.0109
1971/2/24,16.1542
1971/2/25,15.9512
1971/2/26,16.0706
1971/3/1,16.19
1971/3/2,16.1423
1971/3/3,16.1065
1971/3/4,16.2736
1971/3/5,16.5005
1971/3/8,16.6437
1971/3/9,16.6676
1971/3/10,16.6557
1971/3/11,16.6079
1971/3/12,16.9064
1971/3/15,17.3601
1971/3/16,17.3123
1971/3/17,17.3601
1971/3/18,17.2407
