Date,Last Price
5/16/2023,4109.9
5/15/2023,4136.28
05/12/2023,4124.08
05/11/2023,4130.62
05/10/2023,4137.64
05/09/2023,4119.17
05/08/2023,4138.12
05/05/2023,4136.25
05/04/2023,4061.22
05/03/2023,4090.75
05/02/2023,4119.58
05/01/2023,4167.87
4/28/2023,4169.48
4/27/2023,4135.35
4/26/2023,4055.99
4/25/2023,4071.63
4/24/2023,4137.04
4/21/2023,4133.52
4/20/2023,4129.79
4/19/2023,4154.52
4/18/2023,4154.87
4/17/2023,4151.32
4/14/2023,4137.64
4/13/2023,4146.22
04/12/2023,4091.95
04/11/2023,4108.94
04/10/2023,4109.11
04/06/2023,4105.02
04/05/2023,4090.38
04/04/2023,4100.6
04/03/2023,4124.51
3/31/2023,4109.31
3/30/2023,4050.83
3/29/2023,4027.81
3/28/2023,3971.27
3/27/2023,3977.53
3/24/2023,3970.99
3/23/2023,3948.72
3/22/2023,3936.97
3/21/2023,4002.87
3/20/2023,3951.57
3/17/2023,3916.64
3/16/2023,3960.28
3/15/2023,3891.93
3/14/2023,3919.29
3/13/2023,3855.76
03/10/2023,3861.59
03/09/2023,3918.32
03/08/2023,3992.01
03/07/2023,3986.37
03/06/2023,4048.42
03/03/2023,4045.64
03/02/2023,3981.35
03/01/2023,3951.39
2/28/2023,3970.15
2/27/2023,3982.24
2/24/2023,3970.04
2/23/2023,4012.32
2/22/2023,3991.05
2/21/2023,3997.34
2/17/2023,4079.09
2/16/2023,4090.41
2/15/2023,4147.6
2/14/2023,4136.13
2/13/2023,4137.29
02/10/2023,4090.46
02/09/2023,4081.5
02/08/2023,4117.86
02/07/2023,4164
02/06/2023,4111.08
02/03/2023,4136.48
02/02/2023,4179.76
02/01/2023,4119.21
1/31/2023,4076.6
1/30/2023,4017.77
1/27/2023,4070.56
1/26/2023,4060.43
1/25/2023,4016.22
1/24/2023,4016.95
1/23/2023,4019.81
1/20/2023,3972.61
1/19/2023,3898.85
1/18/2023,3928.86
1/17/2023,3990.97
1/13/2023,3999.09
01/12/2023,3983.17
01/11/2023,3969.61
01/10/2023,3919.25
01/09/2023,3892.09
01/06/2023,3895.08
01/05/2023,3808.1
01/04/2023,3852.97
01/03/2023,3824.14
12/30/2022,3839.5
12/29/2022,3849.28
12/28/2022,3783.22
12/27/2022,3829.25
12/23/2022,3844.82
12/22/2022,3822.39
12/21/2022,3878.44
12/20/2022,3821.62
12/19/2022,3817.66
12/16/2022,3852.36
12/15/2022,3895.75
12/14/2022,3995.32
12/13/2022,4019.65
12/12/2022,3990.56
12/09/2022,3934.38
12/08/2022,3963.51
12/07/2022,3933.92
12/06/2022,3941.26
12/05/2022,3998.84
12/02/2022,4071.7
12/01/2022,4076.57
11/30/2022,4080.11
11/29/2022,3957.63
11/28/2022,3963.94
11/25/2022,4026.12
11/23/2022,4027.26
11/22/2022,4003.58
11/21/2022,3949.94
11/18/2022,3965.34
11/17/2022,3946.56
11/16/2022,3958.79
11/15/2022,3991.73
11/14/2022,3957.25
11/11/2022,3992.93
11/10/2022,3956.37
11/09/2022,3748.57
11/08/2022,3828.11
11/07/2022,3806.8
11/04/2022,3770.55
11/03/2022,3719.89
11/02/2022,3759.69
11/01/2022,3856.1
10/31/2022,3871.98
10/28/2022,3901.06
10/27/2022,3807.3
10/26/2022,3830.6
10/25/2022,3859.11
10/24/2022,3797.34
10/21/2022,3752.75
10/20/2022,3665.78
10/19/2022,3695.16
10/18/2022,3719.98
10/17/2022,3677.95
10/14/2022,3583.07
10/13/2022,3669.91
10/12/2022,3577.03
10/11/2022,3588.84
10/10/2022,3612.39
10/07/2022,3639.66
10/06/2022,3744.52
10/05/2022,3783.28
10/04/2022,3790.93
10/03/2022,3678.43
9/30/2022,3585.62
9/29/2022,3640.47
9/28/2022,3719.04
9/27/2022,3647.29
9/26/2022,3655.04
9/23/2022,3693.23
9/22/2022,3757.99
9/21/2022,3789.93
9/20/2022,3855.93
9/19/2022,3899.89
9/16/2022,3873.33
9/15/2022,3901.35
9/14/2022,3946.01
9/13/2022,3932.69
09/12/2022,4110.41
09/09/2022,4067.36
09/08/2022,4006.18
09/07/2022,3979.87
09/06/2022,3908.19
09/02/2022,3924.26
09/01/2022,3966.85
8/31/2022,3955
8/30/2022,3986.16
8/29/2022,4030.61
8/26/2022,4057.66
8/25/2022,4199.12
8/24/2022,4140.77
8/23/2022,4128.73
8/22/2022,4137.99
8/19/2022,4228.48
8/18/2022,4283.74
8/17/2022,4274.04
8/16/2022,4305.2
8/15/2022,4297.14
08/12/2022,4280.15
08/11/2022,4207.27
08/10/2022,4210.24
08/09/2022,4122.47
08/08/2022,4140.06
08/05/2022,4145.19
08/04/2022,4151.94
08/03/2022,4155.17
08/02/2022,4091.19
08/01/2022,4118.63
7/29/2022,4130.29
7/28/2022,4072.43
7/27/2022,4023.61
7/26/2022,3921.05
7/25/2022,3966.84
7/22/2022,3961.63
7/21/2022,3998.95
7/20/2022,3959.9
7/19/2022,3936.69
7/18/2022,3830.85
7/15/2022,3863.16
7/14/2022,3790.38
7/13/2022,3801.78
07/12/2022,3818.8
07/11/2022,3854.43
07/08/2022,3899.38
07/07/2022,3902.62
07/06/2022,3845.08
07/05/2022,3831.39
07/01/2022,3825.33
6/30/2022,3785.38
6/29/2022,3818.83
6/28/2022,3821.55
6/27/2022,3900.11
6/24/2022,3911.74
6/23/2022,3795.73
6/22/2022,3759.89
6/21/2022,3764.79
6/17/2022,3674.84
6/16/2022,3666.77
6/15/2022,3789.99
6/14/2022,3735.48
6/13/2022,3749.63
06/10/2022,3900.86
06/09/2022,4017.82
06/08/2022,4115.77
06/07/2022,4160.68
06/06/2022,4121.43
06/03/2022,4108.54
06/02/2022,4176.82
06/01/2022,4101.23
5/31/2022,4132.15
5/27/2022,4158.24
5/26/2022,4057.84
5/25/2022,3978.73
5/24/2022,3941.48
5/23/2022,3973.75
5/20/2022,3901.36
5/19/2022,3900.79
5/18/2022,3923.68
5/17/2022,4088.85
5/16/2022,4008.01
5/13/2022,4023.89
05/12/2022,3930.08
05/11/2022,3935.18
05/10/2022,4001.05
05/09/2022,3991.24
05/06/2022,4123.34
05/05/2022,4146.87
05/04/2022,4300.17
05/03/2022,4175.48
05/02/2022,4155.38
4/29/2022,4131.93
4/28/2022,4287.5
4/27/2022,4183.96
4/26/2022,4175.2
4/25/2022,4296.12
4/22/2022,4271.78
4/21/2022,4393.66
4/20/2022,4459.45
4/19/2022,4462.21
4/18/2022,4391.69
4/14/2022,4392.59
4/13/2022,4446.59
04/12/2022,4397.45
04/11/2022,4412.53
04/08/2022,4488.28
04/07/2022,4500.21
04/06/2022,4481.15
04/05/2022,4525.12
04/04/2022,4582.64
04/01/2022,4545.86
3/31/2022,4530.41
3/30/2022,4602.45
3/29/2022,4631.6
3/28/2022,4575.52
3/25/2022,4543.06
3/24/2022,4520.16
3/23/2022,4456.24
3/22/2022,4511.61
3/21/2022,4461.18
3/18/2022,4463.12
3/17/2022,4411.67
3/16/2022,4357.86
3/15/2022,4262.45
3/14/2022,4173.11
03/11/2022,4204.31
03/10/2022,4259.52
03/09/2022,4277.88
03/08/2022,4170.7
03/07/2022,4201.09
03/04/2022,4328.87
03/03/2022,4363.49
03/02/2022,4386.54
03/01/2022,4306.26
2/28/2022,4373.94
2/25/2022,4384.65
2/24/2022,4288.7
2/23/2022,4225.5
2/22/2022,4304.76
2/18/2022,4348.87
2/17/2022,4380.26
2/16/2022,4475.01
2/15/2022,4471.07
2/14/2022,4401.67
02/11/2022,4418.64
02/10/2022,4504.08
02/09/2022,4587.18
02/08/2022,4521.54
02/07/2022,4483.87
02/04/2022,4500.53
02/03/2022,4477.44
02/02/2022,4589.38
02/01/2022,4546.54
1/31/2022,4515.55
1/28/2022,4431.85
1/27/2022,4326.51
